date,uri,hdUri,copyright,type
2012-10-10,https://apod.nasa.gov/apod/image/1210/nausetlight_startrails_cookphoto950.jpg,https://apod.nasa.gov/apod/image/1210/nausetlight_startrails_cookphoto.jpg,Chris Cook,image
2012-10-11,https://apod.nasa.gov/apod/image/1210/ontario_vir_2012282_900.jpg,https://apod.nasa.gov/apod/image/1210/ontario_vir_2012282_lrg.jpg,,image
2012-10-12,https://apod.nasa.gov/apod/image/1210/m8m20_panstarrs900.jpg,https://apod.nasa.gov/apod/image/1210/m8m20_panstarrs.jpg,,image
2012-10-13,https://apod.nasa.gov/apod/image/1210/ngc7497mbm54torregrosa900.jpg,https://apod.nasa.gov/apod/image/1210/ngc7497mbm54torregrosa.jpg,Ignacio de la Cueva Torregrosa,image
2012-10-14,https://apod.nasa.gov/apod/image/1210/xdf_hubble_960.jpg,https://apod.nasa.gov/apod/image/1210/xdf_hubble_1280.jpg,,image
2012-10-15,https://apod.nasa.gov/apod/image/1210/blacksun_lafferty_960.jpg,https://apod.nasa.gov/apod/image/1210/blacksun_lafferty_1600.jpg,Jim Lafferty,image
2012-10-16,https://apod.nasa.gov/apod/image/1210/spiralstar_alma_960.jpg,https://apod.nasa.gov/apod/image/1210/spiralstar_alma_3600.jpg,,image
2012-10-17,https://apod.nasa.gov/apod/image/1210/geyseraurora_howell_960.jpg,https://apod.nasa.gov/apod/image/1210/geyseraurora_howell_2163.jpg,Robert Howell,image
2012-10-18,https://apod.nasa.gov/apod/image/1210/eso1241bAlphaCenBb960.jpg,https://apod.nasa.gov/apod/image/1210/eso1241bAlphaCenBb.jpg,,image
2012-10-19,https://apod.nasa.gov/apod/image/1210/NGC2623_HLApugh942.jpg,https://apod.nasa.gov/apod/image/1210/NGC2623_HLApugh.jpg,,image
2012-10-20,https://apod.nasa.gov/apod/image/1210/GegenscheinMilkyWayTafreshi900.jpg,https://apod.nasa.gov/apod/image/1210/GegenscheinMilkyWayTafreshi.jpg,Babak Tafreshi,image
2012-10-21,https://apod.nasa.gov/apod/image/1210/horsehead_kpno_960.jpg,https://apod.nasa.gov/apod/image/1210/horsehead_kpno_1366.jpg,Nigel Sharp,image
2012-10-22,https://www.youtube.com/embed/JdqZyACCYZc?rel=0,https://www.youtube.com/embed/JdqZyACCYZc?rel=0,"Bryan Chan,
 Los Angeles Times;
  Music: Keeper of the Wind
 (Eleni Hassabis,
 Firstcom)",video
2012-10-23,https://apod.nasa.gov/apod/image/1210/mammatus_lindsay_960.jpg,https://apod.nasa.gov/apod/image/1210/mammatus_lindsay_1280.jpg,,image
2012-10-24,https://apod.nasa.gov/apod/image/1210/Ngc206Fera900.jpg,https://apod.nasa.gov/apod/image/1210/ngc206Fera.jpg,"Fera
 Photography",image
2012-10-25,https://apod.nasa.gov/apod/image/1210/MedusaCrawford_NC900.jpg,https://apod.nasa.gov/apod/image/1210/MedusaCrawford_NC.jpg,Ken Crawford,image
2012-10-26,https://apod.nasa.gov/apod/image/1210/vdb1Block900cs.jpg,https://apod.nasa.gov/apod/image/1210/vdb1Blockc.jpg,Adam Block,image
2012-10-27,https://apod.nasa.gov/apod/image/1210/NGC6164Web_goldman_c800.jpg,https://apod.nasa.gov/apod/image/1210/NGC6164Web_goldman.jpg,Don Goldman,image
2012-10-28,https://apod.nasa.gov/apod/image/1210/phobos3_hirise_960.jpg,https://apod.nasa.gov/apod/image/1210/phobos3_hirise_3374.jpg,,image
2012-10-29,https://apod.nasa.gov/apod/image/1210/redspider_milovic_960.jpg,https://apod.nasa.gov/apod/image/1210/redspider_milovic_1476.jpg,"Carlos Milovic,
 Hubble Legacy Archive,
 NASA",image
2012-10-30,https://apod.nasa.gov/apod/image/1210/pk164_caha_960.jpg,https://apod.nasa.gov/apod/image/1210/pk164_caha_1866.jpg,"Descubre Foundation,
 CAHA,
 OAUV,
 DSA,
 Vicent Peris (OAUV),
 Jack Harvey (SSRO),
 PixInsight",image
2012-10-31,https://apod.nasa.gov/apod/image/1210/VDB152_LRGB_leshin600.jpg,https://apod.nasa.gov/apod/image/1210/VDB152_LRGB_leshin.jpg,Stephen Leshin,image
2012-11-01,https://apod.nasa.gov/apod/image/1211/rigelwitch_andreo.jpg,https://apod.nasa.gov/apod/image/1211/rigelwitch_andreo_big.jpg,Rogelio Bernal Andreo,image
2012-11-02,https://apod.nasa.gov/apod/image/1211/PIA16214nustar900.jpg,https://apod.nasa.gov/apod/image/1211/PIA16214nustar.jpg,,image
2012-11-03,https://apod.nasa.gov/apod/image/1211/HunterMoonAlpsDeRosa900.jpg,https://apod.nasa.gov/apod/image/1211/HunterMoonAlpsDeRosa.jpg,Stefano De Rosa,image
2012-11-04,https://apod.nasa.gov/apod/image/1211/rainierclouds_thompson_960.jpg,https://apod.nasa.gov/apod/image/1211/rainierclouds_thompson_3008.jpg,Tim Thompson,image
2012-11-05,https://apod.nasa.gov/apod/image/1211/dione4_cassini_960.jpg,https://apod.nasa.gov/apod/image/1211/dione4_cassini_5669.jpg,,image
2012-11-06,https://apod.nasa.gov/apod/image/1211/methone_cassini_960.jpg,https://apod.nasa.gov/apod/image/1211/methone_cassini_765.jpg,,image
2012-11-07,https://www.youtube.com/embed/fWMgrlzXUb4?rel=0,https://www.youtube.com/embed/fWMgrlzXUb4?rel=0,,video
